word	freq	match	not_match
man	7891	0.8455608487129211	0.10782858729362488
shirt	4536	0.8348495364189148	0.09988351911306381
woman	4378	0.853812038898468	0.13593749701976776
boy	1477	0.8425599932670593	0.13915115594863892
girl	1428	0.8624687790870667	0.13525094091892242
dog	1399	0.7691218852996826	0.15663857758045197
hat	1333	0.9600136876106262	0.07574460655450821
street	1162	0.8892853260040283	0.12489421665668488
jeans	1099	0.8499858379364014	0.11918683350086212
water	986	0.6879730820655823	0.1917913854122162
jacket	949	0.8496031165122986	0.13815942406654358
shorts	832	0.7834172248840332	0.11534556746482849
table	814	0.9014705419540405	0.3023776113986969
glasses	751	0.957095205783844	0.10211958736181259
pants	750	0.7266062498092651	0.14937469363212585
ball	745	0.929424524307251	0.08095692843198776
sidewalk	696	0.854895830154419	0.09221600741147995
hand	694	0.8635705709457397	0.17571717500686646
building	688	0.7410441040992737	0.173684224486351
head	606	0.9644894599914551	0.16065432131290436
child	575	0.8078321218490601	0.18231530487537384
dress	564	0.7585697174072266	0.14371497929096222
wall	560	0.9019814729690552	0.17123137414455414
sunglasses	542	0.9188007116317749	0.11816544085741043
person	523	0.8489178419113159	0.23635278642177582
grass	511	0.8922338485717773	0.17672830820083618
helmet	481	0.942997395992279	0.020876584574580193
bike	475	0.7959375381469727	0.20127804577350616
microphone	442	0.8487592339515686	0.13203853368759155
face	436	0.825037956237793	0.20939256250858307
guitar	430	0.729637622833252	0.2907508909702301
bench	419	0.7689446210861206	0.24613873660564423
field	417	0.7965942025184631	0.19410152733325958
snow	393	0.8651650547981262	0.1631135493516922
hair	390	0.7882768511772156	0.13035070896148682
beach	373	0.7882797122001648	0.21571718156337738
chair	357	0.47296231985092163	0.2833605706691742
mouth	347	0.8770309686660767	0.29354724287986755
hands	345	0.7935222387313843	0.21246370673179626
tree	342	0.6808565258979797	0.23051145672798157
t-shirt	339	0.8498242497444153	0.05091587454080582
and	328	0.6505105495452881	0.1802358478307724
people	313	0.9526727795600891	0.42237234115600586
suit	301	0.9716706871986389	0.1731380820274353
coat	301	0.8258690237998962	0.16967236995697021
car	300	0.8889956474304199	0.14141352474689484
boat	292	0.6210730075836182	0.3157532513141632
floor	287	0.7327122688293457	0.1565345674753189
baby	286	0.7797899842262268	0.35256144404411316
backpack	278	0.7948704957962036	0.35337698459625244
bag	276	0.7824409604072571	0.21328695118427277
skateboard	274	0.8763154149055481	0.245717853307724
sign	262	0.9335295557975769	0.3548406958580017
fence	262	0.852226972579956	0.1967519223690033
bicycle	245	0.9220879077911377	0.15536785125732422
camera	245	0.9630910754203796	0.12291712313890457
window	243	0.985040545463562	0.2521935999393463
uniform	242	0.667884111404419	0.21819788217544556
cap	239	0.9997833371162415	0.0909888818860054
sand	238	0.8274214267730713	0.28397366404533386
road	234	0.7046912312507629	0.17749224603176117
vest	233	0.8833727836608887	0.00826792512089014
sweater	230	0.6636650562286377	0.13540245592594147
top	226	0.6006986498832703	0.19951878488063812
horse	220	0.7264868021011353	0.16308002173900604
food	210	0.741248607635498	0.36053335666656494
stage	210	0.8384374976158142	0.3066699802875519
cellphone	210	0.9968583583831787	0.051031358540058136
other	209	0.5692216753959656	0.23660863935947418
pool	205	0.9558672308921814	0.10174854844808578
something	203	0.22885119915008545	0.38622137904167175
of	200	0.5981386303901672	0.3135562539100647
trees	199	0.7258569002151489	0.28002601861953735
