word	freq	match	not_match
man	7891	0.8601717948913574	0.1430331915616989
shirt	4536	0.8774553537368774	0.1584702432155609
woman	4378	0.9033692479133606	0.18487520515918732
boy	1477	0.863879382610321	0.21268562972545624
girl	1428	0.8658044934272766	0.1844080686569214
dog	1399	0.878856360912323	0.1613120287656784
hat	1333	0.9558053016662598	0.1284327208995819
street	1162	0.8962972164154053	0.14730800688266754
jeans	1099	0.8134503960609436	0.16230544447898865
water	986	0.7540260553359985	0.20379327237606049
jacket	949	0.8931170701980591	0.22800739109516144
shorts	832	0.8175769448280334	0.1791284680366516
table	814	0.888943612575531	0.310456782579422
glasses	751	0.9702074527740479	0.14171019196510315
pants	750	0.7413785457611084	0.19401778280735016
ball	745	0.9449108242988586	0.10901962220668793
sidewalk	696	0.8831144571304321	0.09410899132490158
hand	694	0.8984562158584595	0.29106906056404114
building	688	0.7922782301902771	0.19407276809215546
head	606	0.9075665473937988	0.22262418270111084
child	575	0.8699566125869751	0.2343314290046692
dress	564	0.8125850558280945	0.17065417766571045
wall	560	0.8602653741836548	0.20783787965774536
sunglasses	542	0.8832410573959351	0.18858779966831207
person	523	0.7873631715774536	0.3258264362812042
grass	511	0.9392275214195251	0.16257548332214355
helmet	481	0.992999255657196	0.0615539625287056
bike	475	0.9547857642173767	0.10622192174196243
microphone	442	0.7553268671035767	0.2878221869468689
face	436	0.6846613883972168	0.235464945435524
guitar	430	0.6737412810325623	0.39513322710990906
bench	419	0.6979683637619019	0.19788311421871185
field	417	0.7415751814842224	0.24938446283340454
snow	393	0.9158117175102234	0.18787457048892975
hair	390	0.7930117845535278	0.24606208503246307
beach	373	0.9282057285308838	0.29122045636177063
chair	357	0.7200795412063599	0.32815903425216675
mouth	347	0.8589187264442444	0.3469812273979187
hands	345	0.8883025050163269	0.3373451828956604
tree	342	0.6952835917472839	0.25014758110046387
t-shirt	339	0.848370373249054	0.1298244595527649
and	328	0.6725236773490906	0.2333524227142334
people	313	0.8923637270927429	0.4231776297092438
suit	301	0.9987179636955261	0.30730530619621277
coat	301	0.8853623867034912	0.279500812292099
car	300	0.8404756188392639	0.11681728810071945
boat	292	0.7522964477539062	0.23002967238426208
floor	287	0.8004485964775085	0.14724291861057281
baby	286	0.9551822543144226	0.4252338707447052
backpack	278	0.9584541320800781	0.3890528380870819
bag	276	0.8518722057342529	0.31193703413009644
skateboard	274	0.7661193609237671	0.215677872300148
sign	262	0.8338462114334106	0.24522972106933594
fence	262	0.9044027924537659	0.25243905186653137
bicycle	245	0.9440720677375793	0.12707610428333282
camera	245	0.9818935394287109	0.16736143827438354
window	243	0.8117335438728333	0.331683874130249
uniform	242	0.7866424918174744	0.2581469416618347
cap	239	0.9999637603759766	0.11375795304775238
sand	238	0.9882409572601318	0.3660447895526886
road	234	0.843437910079956	0.25190621614456177
vest	233	0.6773247718811035	0.09351009130477905
sweater	230	0.7694820165634155	0.164303719997406
top	226	0.747473955154419	0.324722021818161
horse	220	0.8312223553657532	0.09526841342449188
food	210	0.6990737318992615	0.4236220419406891
stage	210	0.984606146812439	0.21889258921146393
cellphone	210	0.9753296971321106	0.06992147862911224
other	209	0.8295976519584656	0.23156362771987915
pool	205	0.9875761866569519	0.20836853981018066
something	203	0.42347320914268494	0.3143368661403656
of	200	0.6575763821601868	0.3944440186023712
trees	199	0.8900193572044373	0.2817508280277252
book	198	0.8850744962692261	0.20816291868686676
skirt	197	0.9862684011459351	0.2958037257194519
beard	196	0.770444929599762	0.2874837815761566
crowd	194	0.7892414927482605	0.11266028136014938
rock	190	0.7765108346939087	0.25383174419403076
scarf	182	0.7720711827278137	0.18157830834388733
umbrella	181	0.6665678024291992	0.3329298794269562
arm	180	0.7462061047554016	0.1570875644683838
ocean	179	0.9440932869911194	0.3525317311286926
blond-hair	178	0.9211457371711731	0.16273187100887299
stick	178	0.41573822498321533	0.08573612570762634
cigarette	167	0.8829392790794373	0.27773043513298035
cart	167	0.9970130920410156	0.2960584759712219
