word	freq	match	not_match
man	7891	0.9006510376930237	0.04722840338945389
shirt	4536	0.8811853528022766	0.05275833606719971
woman	4378	0.839836835861206	0.07712186872959137
boy	1477	0.9007062315940857	0.07117253541946411
girl	1428	0.8829721808433533	0.06545639038085938
dog	1399	0.9050761461257935	0.03330092877149582
hat	1333	0.9448756575584412	0.046441491693258286
street	1162	0.9077160358428955	0.052635807543992996
jeans	1099	0.9013023376464844	0.04561225324869156
water	986	0.8179363012313843	0.09299802780151367
jacket	949	0.8793284893035889	0.07264158129692078
shorts	832	0.8884078860282898	0.06521998345851898
table	814	0.8613457083702087	0.07980161160230637
glasses	751	0.9521517157554626	0.03554075211286545
pants	750	0.8670020699501038	0.07705539464950562
ball	745	0.9508113861083984	0.06644286960363388
sidewalk	696	0.9243906140327454	0.0680970698595047
hand	694	0.8957157135009766	0.11757954955101013
building	688	0.8960264921188354	0.08108045905828476
head	606	0.8862032294273376	0.08670292049646378
child	575	0.8168225884437561	0.10096320509910583
dress	564	0.8549368381500244	0.08639936149120331
wall	560	0.8638039231300354	0.09628591686487198
sunglasses	542	0.9447728395462036	0.041495561599731445
person	523	0.8692164421081543	0.060499805957078934
grass	511	0.8795289993286133	0.0830310508608818
helmet	481	0.9590024352073669	0.016911715269088745
bike	475	0.8737408518791199	0.06326723843812943
microphone	442	0.8839027881622314	0.07123851031064987
face	436	0.8687829971313477	0.09688203036785126
guitar	430	0.8201397657394409	0.07799028605222702
bench	419	0.8217304348945618	0.0794098824262619
field	417	0.9249569773674011	0.05005974695086479
snow	393	0.8427211046218872	0.07686968892812729
hair	390	0.9012588262557983	0.0806843638420105
beach	373	0.9095741510391235	0.10837531834840775
chair	357	0.6610128283500671	0.10966698080301285
mouth	347	0.910335898399353	0.14066579937934875
hands	345	0.843070924282074	0.09057153016328812
tree	342	0.8514837026596069	0.10393434762954712
t-shirt	339	0.8589662909507751	0.050862543284893036
and	328	0.8071907162666321	0.11320854723453522
people	313	0.7184144854545593	0.1389237493276596
suit	301	0.8492591381072998	0.07165748625993729
coat	301	0.866337239742279	0.07172340899705887
car	300	0.8460693359375	0.07761435955762863
boat	292	0.7752618193626404	0.13630324602127075
floor	287	0.8820880651473999	0.07786574959754944
baby	286	0.7384228110313416	0.09633512794971466
backpack	278	0.8502459526062012	0.09467047452926636
bag	276	0.8715421557426453	0.11862161010503769
skateboard	274	0.9172493815422058	0.0667874738574028
sign	262	0.829649031162262	0.1471158266067505
fence	262	0.8905228972434998	0.08316193521022797
bicycle	245	0.7726812958717346	0.056954532861709595
camera	245	0.8628479838371277	0.09163267910480499
window	243	0.7978773713111877	0.099307581782341
uniform	242	0.824904203414917	0.09633837640285492
cap	239	0.919704020023346	0.05726366490125656
sand	238	0.8632395267486572	0.1104392260313034
road	234	0.8959301114082336	0.0848761796951294
vest	233	0.8835180401802063	0.09290696680545807
sweater	230	0.8850417733192444	0.09189986437559128
top	226	0.7062810063362122	0.09192647784948349
horse	220	0.9034241437911987	0.08220867067575455
food	210	0.8082272410392761	0.15459899604320526
stage	210	0.8622682690620422	0.08038756251335144
cellphone	210	0.9613164067268372	0.06935517489910126
other	209	0.7194498777389526	0.13370312750339508
pool	205	0.8547974228858948	0.08239129930734634
something	203	0.8107678890228271	0.1459062397480011
of	200	0.6913554668426514	0.1313163936138153
trees	199	0.8689530491828918	0.10571273416280746
book	198	0.8230968713760376	0.09331773221492767
skirt	197	0.8817694187164307	0.08977219462394714
beard	196	0.9192349910736084	0.08121903240680695
crowd	194	0.7658213376998901	0.09834744781255722
rock	190	0.8351777195930481	0.11867404729127884
scarf	182	0.818720281124115	0.12701164186000824
umbrella	181	0.8528948426246643	0.06956932693719864
arm	180	0.7365058064460754	0.10130529850721359
ocean	179	0.8791776299476624	0.12563280761241913
blond-hair	178	0.9022918939590454	0.08016452938318253
stick	178	0.8905678391456604	0.10485862195491791
cigarette	167	0.9207009673118591	0.10936972498893738
cart	167	0.7941684722900391	0.13343511521816254
rope	165	0.785108745098114	0.12523294985294342
motorcycle	161	0.8759791851043701	0.09738469123840332
back	157	0.7175964713096619	0.13824614882469177
toy	152	0.9467227458953857	0.08661084622144699
apron	152	0.915367603302002	0.08870670199394226
purse	145	0.8233428597450256	0.08568540215492249
arms	143	0.8227554559707642	0.11418445408344269
dirt	140	0.8124224543571472	0.07067496329545975
truck	139	0.8438547849655151	0.12278081476688385
bridge	138	0.7669836282730103	0.11648257821798325
young	137	0.8427747488021851	0.0338163897395134
all	136	0.6831552386283875	0.12337756156921387
phone	133	0.7934931516647339	0.10770242661237717
pole	130	0.8240674138069153	0.11597196012735367
couch	127	0.8589925169944763	0.1295308619737625
wave	126	0.958317756652832	0.08216743171215057
ramp	124	0.8730397820472717	0.09352555871009827
brown	122	0.7473118305206299	0.14750216901302338
eyes	122	0.9151393175125122	0.09440489858388901
door	122	0.8238280415534973	0.14141465723514557
lake	121	0.850742757320404	0.08172605186700821
sky	120	0.8401805758476257	0.16216881573200226
house	118	0.819919228553772	0.10709208250045776
store	117	0.9150245785713196	0.07097101211547852
park	117	0.8396741151809692	0.10514438152313232
surfboard	114	0.9335081577301025	0.05386551097035408
shoulder	112	0.8826276659965515	0.10747797042131424
sweatshirt	111	0.8389489054679871	0.05883656069636345
flag	109	0.898104727268219	0.12129729241132736
jersey	109	0.9184391498565674	0.09124801307916641
outfit	108	0.8167446851730347	0.10401857644319534
goggles	107	0.8899517059326172	0.06982280313968658
mountain	107	0.8223637342453003	0.1268768459558487
tie	107	0.8866222500801086	0.07622598111629486
