word	freq	match	not_match
man	7891	0.8766979575157166	0.11480042338371277
shirt	4536	0.8548558950424194	0.06509135663509369
woman	4378	0.8713563680648804	0.1522126942873001
boy	1477	0.8325542211532593	0.16342179477214813
girl	1428	0.881973922252655	0.17190125584602356
dog	1399	0.8141359090805054	0.06988204270601273
hat	1333	2.38990600177685e-15	0.014783390797674656
street	1162	6.508297474283609e-07	0.015522089786827564
jeans	1099	0.8975067734718323	0.09059455245733261
water	986	6.063416435608815e-09	0.04699649661779404
jacket	949	0.8184375762939453	0.08784505724906921
shorts	832	1.1794556757542761e-26	0.041013576090335846
table	814	0.8662241697311401	0.04870690405368805
glasses	751	2.8723465088443504e-21	4.3723360931835487e-07
pants	750	0.7566941380500793	0.05806845799088478
ball	745	8.329885220816269e-24	0.0013655229704454541
sidewalk	696	3.502902424029554e-15	0.009340304881334305
hand	694	3.35287366979101e-22	0.02206367626786232
building	688	1.0222828139561102e-09	0.017646566033363342
head	606	7.448521533662374e-18	0.029658373445272446
child	575	0.8354061841964722	0.2141004055738449
dress	564	0.771761417388916	0.061990298330783844
wall	560	1.4728206501612995e-11	0.07679978758096695
sunglasses	542	1.8356830242347877e-25	2.2519488993566483e-05
person	523	0.7761285305023193	0.18234047293663025
grass	511	1.9901808042837216e-16	0.0493934266269207
helmet	481	3.4901693483103946e-16	0.009271186776459217
bike	475	0.8616673350334167	0.02642289735376835
microphone	442	1.3453981187662757e-20	0.04286427050828934
face	436	3.5327304047169836e-18	0.06625637412071228
guitar	430	0.6719104647636414	0.1557517647743225
bench	419	0.8507732152938843	0.11844276636838913
field	417	3.2662793606176174e-20	0.0821881890296936
snow	393	1.928196786088224e-16	0.021180924028158188
hair	390	0.7478845119476318	0.0562114492058754
beach	373	3.786493755803151e-14	0.03147068992257118
chair	357	0.6028133034706116	0.11720282584428787
mouth	347	8.471002378783766e-25	0.00019312425865791738
hands	345	1.2768811088075675e-21	0.008109739050269127
tree	342	7.637915473701629e-12	0.08737823367118835
t-shirt	339	0.8680410981178284	0.004364515654742718
and	328	1.1189388877732849e-15	0.18908490240573883
people	313	0.9537943005561829	0.31698858737945557
suit	301	2.5867180593403536e-18	0.09380565583705902
coat	301	0.8969070315361023	0.13663198053836823
car	300	7.78674102974719e-09	0.0028647840954363346
boat	292	0.6506252288818359	0.04867933318018913
floor	287	7.539330972272094e-19	0.06790967285633087
baby	286	0.8417649269104004	0.3992288112640381
backpack	278	1.7690782720496045e-17	0.1670929193496704
bag	276	1.1078034750113246e-15	0.09359437227249146
skateboard	274	7.55746897515385e-19	0.0610373392701149
sign	262	6.438567953227466e-16	0.05562254413962364
fence	262	8.892604195869479e-15	0.1030401661992073
bicycle	245	0.9507714509963989	0.030032506212592125
camera	245	1.1727987252420603e-20	1.492434307692747e-06
window	243	4.5833034589826127e-10	0.13024230301380157
uniform	242	0.47042205929756165	0.17610864341259003
cap	239	5.285005322264169e-09	0.12112455815076828
sand	238	8.960578589886636e-14	0.11261255294084549
road	234	7.79583849189712e-14	0.0013107372215017676
vest	233	0.7769463658332825	0.0006529949605464935
sweater	230	0.7610690593719482	0.07496244460344315
top	226	0.6660999655723572	0.09448482096195221
horse	220	0.781840980052948	0.08841700851917267
food	210	6.578002031965013e-11	0.07652395218610764
stage	210	4.2785969564669463e-23	0.06807075440883636
cellphone	210	3.7432696984055984e-22	1.990359578485368e-06
other	209	0.6654008030891418	0.05547025427222252
pool	205	3.5372158761065586e-12	0.060518573969602585
something	203	4.271750514712067e-21	0.0003320921678096056
of	200	1.103026008308916e-07	0.11115726828575134
trees	199	2.4663217143881073e-19	0.045409802347421646
book	198	9.573758036650625e-20	0.03003019466996193
skirt	197	2.4575410790947576e-21	0.05863475799560547
beard	196	3.0228133364451626e-12	0.02776372618973255
crowd	194	1.0890023929008893e-14	0.12266470491886139
rock	190	8.841431547394057e-15	0.03141599893569946
scarf	182	2.5260310683586514e-22	0.07142876833677292
umbrella	181	8.691171290682934e-14	0.07748701423406601
arm	180	2.6737506371154413e-23	0.13287796080112457
ocean	179	2.2010752527795545e-14	0.03275337070226669
blond-hair	178	0.9504401683807373	0.031701844185590744
stick	178	4.091340120902586e-22	0.011923480778932571
cigarette	167	2.1009313445838354e-22	7.949429559062082e-09
cart	167	4.579754679873496e-14	0.172362819314003
rope	165	1.9413950483315486e-17	0.07633300870656967
motorcycle	161	0.6774625182151794	0.008019155822694302
back	157	0.30157560110092163	0.06150053068995476
toy	152	7.293639201792179e-21	0.0017882807878777385
apron	152	2.467289407178698e-14	0.11650803685188293
purse	145	1.6189428699284406e-20	0.0061089093796908855
arms	143	8.749976383639474e-14	0.03447152301669121
dirt	140	2.7847644126528516e-17	0.11591092497110367
truck	139	3.0707436381122417e-21	0.05931335315108299
bridge	138	7.725895872566718e-19	0.009044169448316097
young	137	0.9901916980743408	0.08810514211654663
all	136	0.42301687598228455	0.052573878318071365
phone	133	4.0856933319320676e-16	7.154209924919996e-06
pole	130	1.4887482913117367e-10	0.04669943079352379
couch	127	4.571752929027374e-14	0.4173358678817749
wave	126	2.6751632913591877e-21	0.006501913070678711
ramp	124	4.1853985133165e-20	9.517291468807976e-13
brown	122	1.6066257693289624e-18	0.1568543016910553
eyes	122	6.505771898814383e-19	7.990713493200019e-05
door	122	7.628337544973718e-11	0.09421355277299881
lake	121	3.4523530578000527e-19	0.025822943076491356
sky	120	5.468660882385013e-25	6.5570620391968305e-15
house	118	1.0567930333453025e-15	6.419099008780904e-06
store	117	5.961405591392577e-09	0.0767269879579544
park	117	4.069518973106451e-15	0.15451860427856445
surfboard	114	2.1162189719446483e-24	0.12247000634670258
shoulder	112	3.7685625732673524e-21	2.579520774759203e-08
sweatshirt	111	0.6688641905784607	0.16478149592876434
flag	109	2.9515789489362155e-18	0.009200290776789188
jersey	109	0.9778887033462524	3.9717858157928276e-07
outfit	108	0.9229065179824829	0.21104805171489716
goggles	107	2.0598523992099094e-18	7.197527296387563e-11
mountain	107	7.07799094135292e-18	0.029974762350320816
tie	107	4.489386257518744e-21	0.05476086214184761
mountains	106	9.330600618320602e-18	0.08456946164369583
collar	106	5.613613581487839e-17	4.638880284346669e-07
flowers	106	4.8634870436492506e-11	0.1680017113685608
men	105	0.57819002866745	0.11128160357475281
gray	104	0.5660142302513123	0.09790488332509995
net	104	2.8221036102012913e-16	0.08648006618022919
swing	104	5.948417310719378e-05	0.5993093252182007
desk	103	1.3408872767038252e-18	0.14667481184005737
steps	102	0.4967123568058014	0.2352665662765503
track	102	1.1521916211898105e-17	0.006442418321967125
drink	102	2.3099433811436708e-20	3.786409195072338e-07
river	100	2.074476658162072e-12	0.014022386632859707
boots	100	4.0273805157397735e-26	0.12238530069589615
frisbee	100	1.0249121199217552e-21	7.191576150944456e-05
shoes	99	1.298298240622211e-21	0.0522877462208271
blanket	98	1.903964482259906e-26	2.053831993364952e-09
leg	98	3.1683787703621825e-24	0.07693535834550858
counter	97	3.26886688497126e-20	0.1426393985748291
hill	93	1.845182388647846e-25	6.772751196676419e-12
path	91	6.132962320519769e-18	1.3103869389314432e-13
stairs	91	1.0308270747197492e-22	3.363860419607949e-22
someone	90	0.0	0.0
